"","name","n_in","complete","teval_lik","pkg","n_out","ny_out","nx_out","teval_pred","teval_var","teval_both"
"165","treed_352",352,TRUE,0.001635,"snapKrig",21632,128,169,0.0107397,0.1758208,0.1865605
"166","treed_352",352,TRUE,0.001635,"snapKrig",86528,256,338,0.0253158,0.5425354,0.5678512
"167","treed_352",352,TRUE,0.001635,"snapKrig",344925,511,675,0.0913086,1.6896487,1.7809573
"168","treed_352",352,TRUE,0.001635,"snapKrig",1377329,1021,1349,0.3726506,9.0580259,9.4306765
"169","treed_352",352,TRUE,0.001635,"snapKrig",5504577,2041,2697,1.7612699,40.4684467,42.2297166
"170","treed_352",352,TRUE,0.001635,"snapKrig",22008833,4081,5393,7.7104251,185.3273494,193.0377745
"171","treed_352",352,TRUE,0.0226384,"fields",88,8,11,0.0045644,0.15532,0.1598844
"172","treed_352",352,TRUE,0.0226384,"fields",352,16,22,0.0172666,0.5900373,0.6073039
"173","treed_352",352,TRUE,0.0226384,"fields",1376,32,43,0.0639041,2.1938187,2.2577228
"174","treed_352",352,TRUE,0.0226384,"fields",5440,64,85,0.2555093,8.5223368,8.7778461
"175","treed_352",352,TRUE,0.0226384,"fields",21632,128,169,1.0058966,33.5396923,34.5455889
"176","treed_352",352,TRUE,0.0226384,"fields",86528,256,338,3.7331838,125.8880853,129.6212691
"177","treed_352",352,TRUE,0.0226384,"fields",344925,511,675,15.8248105,NA,NA
"178","treed_352",352,TRUE,0.0226384,"fields",1377329,1021,1349,62.5555193,NA,NA
"179","treed_352",352,TRUE,0.0226384,"fields",5504577,2041,2697,NA,NA,NA
"180","treed_352",352,TRUE,0.0226384,"fields",22008833,4081,5393,NA,NA,NA
"181","treed_352",352,TRUE,1.2885279,"geoR",88,8,11,NA,NA,0.0746837
"182","treed_352",352,TRUE,1.2885279,"geoR",352,16,22,NA,NA,0.1175061
"183","treed_352",352,TRUE,1.2885279,"geoR",1376,32,43,NA,NA,0.2901882
"184","treed_352",352,TRUE,1.2885279,"geoR",5440,64,85,NA,NA,0.98817
"185","treed_352",352,TRUE,1.2885279,"geoR",21632,128,169,NA,NA,4.0895095
"186","treed_352",352,TRUE,1.2885279,"geoR",86528,256,338,NA,NA,14.4358973
"187","treed_352",352,TRUE,1.2885279,"geoR",344925,511,675,NA,NA,54.4423139
"188","treed_352",352,TRUE,1.2885279,"geoR",1377329,1021,1349,NA,NA,275.5869681
"189","treed_352",352,TRUE,1.2885279,"geoR",5504577,2041,2697,NA,NA,NA
"190","treed_352",352,TRUE,1.2885279,"geoR",22008833,4081,5393,NA,NA,NA
"191","treed_352",352,TRUE,NA,"gstat",88,8,11,NA,NA,0.0889882
"192","treed_352",352,TRUE,NA,"gstat",352,16,22,NA,NA,0.1112228
"193","treed_352",352,TRUE,NA,"gstat",1376,32,43,NA,NA,0.2154119
"194","treed_352",352,TRUE,NA,"gstat",5440,64,85,NA,NA,0.6688023
"195","treed_352",352,TRUE,NA,"gstat",21632,128,169,NA,NA,2.5264996
"196","treed_352",352,TRUE,NA,"gstat",86528,256,338,NA,NA,9.041648
"197","treed_352",352,TRUE,NA,"gstat",344925,511,675,NA,NA,36.5770627
"198","treed_352",352,TRUE,NA,"gstat",1377329,1021,1349,NA,NA,144.2097766
"199","treed_352",352,TRUE,NA,"gstat",5504577,2041,2697,NA,NA,NA
"200","treed_352",352,TRUE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"201","treed_1376",1376,TRUE,0.0032441,"snapKrig",88,8,11,0.003959,0.007991,0.01195
"202","treed_1376",1376,TRUE,0.0032441,"snapKrig",352,16,22,0.0038915,0.0223582,0.0262497
"203","treed_1376",1376,TRUE,0.0032441,"snapKrig",1376,32,43,0.0111435,0.1119173,0.1230608
"204","treed_1376",1376,TRUE,0.0032441,"snapKrig",5440,64,85,0.00826,0.2435291,0.2517891
"205","treed_1376",1376,TRUE,0.0032441,"snapKrig",21632,128,169,0.0136558,0.7101641,0.7238199
"206","treed_1376",1376,TRUE,0.0032441,"snapKrig",86528,256,338,0.028236,2.0204038,2.0486398
"207","treed_1376",1376,TRUE,0.0032441,"snapKrig",344925,511,675,0.1009009,7.6816552,7.7825561
"208","treed_1376",1376,TRUE,0.0032441,"snapKrig",1377329,1021,1349,0.4404168,41.3541535,41.7945703
"209","treed_1376",1376,TRUE,0.0032441,"snapKrig",5504577,2041,2697,2.2508207,194.1697457,196.4205664
"210","treed_1376",1376,TRUE,0.0032441,"snapKrig",22008833,4081,5393,7.9669922,NA,NA
"211","treed_1376",1376,TRUE,0.5706388,"fields",88,8,11,0.0046115,0.1558704,0.1604819
"212","treed_1376",1376,TRUE,0.5706388,"fields",352,16,22,0.0177668,0.6075851,0.6253519
"213","treed_1376",1376,TRUE,0.5706388,"fields",1376,32,43,0.0688881,2.4013707,2.4702588
"214","treed_1376",1376,TRUE,0.5706388,"fields",5440,64,85,0.2727957,9.2044472,9.4772429
"215","treed_1376",1376,TRUE,0.5706388,"fields",21632,128,169,1.0496196,36.5517562,37.6013758
"216","treed_1376",1376,TRUE,0.5706388,"fields",86528,256,338,4.2423493,145.2311306,149.4734799
"217","treed_1376",1376,TRUE,0.5706388,"fields",344925,511,675,16.9326079,NA,NA
"218","treed_1376",1376,TRUE,0.5706388,"fields",1377329,1021,1349,65.4078051,NA,NA
"219","treed_1376",1376,TRUE,0.5706388,"fields",5504577,2041,2697,NA,NA,NA
"220","treed_1376",1376,TRUE,0.5706388,"fields",22008833,4081,5393,NA,NA,NA
"221","treed_1376",1376,TRUE,48.5139185,"geoR",88,8,11,NA,NA,2.7462668
"222","treed_1376",1376,TRUE,48.5139185,"geoR",352,16,22,NA,NA,3.358145
"223","treed_1376",1376,TRUE,48.5139185,"geoR",1376,32,43,NA,NA,6.3566784
"224","treed_1376",1376,TRUE,48.5139185,"geoR",5440,64,85,NA,NA,16.8789346
"225","treed_1376",1376,TRUE,48.5139185,"geoR",21632,128,169,NA,NA,58.8981412
"226","treed_1376",1376,TRUE,48.5139185,"geoR",86528,256,338,NA,NA,214.820809
"227","treed_1376",1376,TRUE,48.5139185,"geoR",344925,511,675,NA,NA,NA
"228","treed_1376",1376,TRUE,48.5139185,"geoR",1377329,1021,1349,NA,NA,NA
"229","treed_1376",1376,TRUE,48.5139185,"geoR",5504577,2041,2697,NA,NA,NA
"230","treed_1376",1376,TRUE,48.5139185,"geoR",22008833,4081,5393,NA,NA,NA
"231","treed_1376",1376,TRUE,NA,"gstat",88,8,11,NA,NA,0.9419069
"232","treed_1376",1376,TRUE,NA,"gstat",352,16,22,NA,NA,1.3964207
"233","treed_1376",1376,TRUE,NA,"gstat",1376,32,43,NA,NA,3.068742
"234","treed_1376",1376,TRUE,NA,"gstat",5440,64,85,NA,NA,9.5293518
"235","treed_1376",1376,TRUE,NA,"gstat",21632,128,169,NA,NA,35.2620793
"236","treed_1376",1376,TRUE,NA,"gstat",86528,256,338,NA,NA,137.0521534
"237","treed_1376",1376,TRUE,NA,"gstat",344925,511,675,NA,NA,NA
"238","treed_1376",1376,TRUE,NA,"gstat",1377329,1021,1349,NA,NA,NA
"239","treed_1376",1376,TRUE,NA,"gstat",5504577,2041,2697,NA,NA,NA
"240","treed_1376",1376,TRUE,NA,"gstat",22008833,4081,5393,NA,NA,NA
"241","treed_5440",5440,TRUE,0.0046703,"snapKrig",88,8,11,0.0032679,0.0077586,0.0110265
"242","treed_5440",5440,TRUE,0.0046703,"snapKrig",352,16,22,0.0036562,0.0212793,0.0249355
"243","treed_5440",5440,TRUE,0.0046703,"snapKrig",1376,32,43,0.0051036,0.0951648,0.1002684
"244","treed_5440",5440,TRUE,0.0046703,"snapKrig",5440,64,85,0.0125761,1.4120976,1.4246737
